$^あー……何と言ったかな……そうそう、(.+?)ちゃんだ。$	아―…… 뭐라고 말했을까나…… 그래그래, $1짱이다.
$^ゆっくりと、言葉で(.+?)を慰めていく。$	천천히, 말로$1를 위로해 간다.
$^(.+?)は時折痛そうな声を上げるものの、すぐに快楽の声に変わる。$	$1(은)는 때때로 아픈 것 같은 소리를 높이지만, 곧바로 쾌락의 소리로 바뀐다.
$^次第に、(.+?)の瞳が蕩けていく。$	점차,$1의 눈동자가 녹아 간다.
$^懇願するように(.+?)が俺を見る。$	간원 하도록(듯이)$1가 나를 본다.
$^俺は胸を揉みながら、貪るように(.+?)にキスをした。$	나는 가슴을 비비면서, 탐내도록(듯이)$1에 키스를 했다.
$^(.+?)の口内を俺の感触で上書きしようと、口内に舌を捻じ込ませる。$	$1의 입안을 나의 감촉으로 덧쓰기하려고, 입안에 혀를 념 글자 붐비게 한다.
$^甘い声を上げる(.+?)の口内に、俺の唾液を流し込む。$	단 소리를 높이는$1의 입안에, 나의 타액을 흘려 넣는다.
$^(.+?)はそれを嬉々として受け入れて、舌を絡ませていく。$	$1(은)는 그것을 희들로서 받아들여, 혀를 얽히게 할 수 있어 간다.
$^熱く身体を火照らせる、(.+?)の熱っぽい声。$	뜨겁게 신체를 불 비출 수 있는,$1의 열정적인 소리.
$^(.+?)の身体が絶頂に震える。$	$1의 신체가 절정에 떨린다.
$^ビクビクと痙攣し、キスと胸揉みの快楽で(.+?)が弛緩する。$	벌벌경련해, 키스와 흉유 보고의 쾌락으로$1가 이완 한다.
$^名残惜しかったが、(.+?)と顔が離れた。$	여운 아까웠지만,$1이라고 얼굴이 떨어졌다.
$^絶頂の余韻に蕩けながら、(.+?)が俺を見る。$	절정의 여운에 녹으면서,$1가 나를 본다.
$^……嬉しいよ、(.+?)。$	……기뻐,$1.
$^いじらしい様子で、(.+?)は俺を見上げた。$	애처로운 모습으로,$1는 나를 올려보았다.
$^俺がその言葉に頷き、この先を(.+?)に任せる事にした。$	내가 그 말에 수긍해, 이 앞을$1에 맡기는 일로 했다.
$^(.+?)は嬉しそうに、俺のペニスを胸で挟んだ。$	$1(은)는 기쁜듯이, 나의 페니스를 가슴으로 사이에 두었다.
$^(.+?)の大きな胸にペニスが包み込まれる刺激に、快感と共に満足感が俺を満たしていく。$	$1의 큰 가슴에 페니스가 감싸지는 자극에, 쾌감과 함께 만족감이 나를 채워 간다.
$^俺の快感を感じ取って、(.+?)が甘い声で喜ぶ。$	나의 쾌감을 감지해,$1가 단 소리로 기뻐한다.
$^(.+?)の唇に亀頭を吸われる刺激に、思わず声が出そうになってしまう。$	$1의 입술에 귀두를 들이마셔지는 자극에, 무심코 소리가 내자가 되어 버린다.
$^堪らず滲み出した俺のカウパーを、(.+?)は躊躇なく舌先で舐め取って啜り、奉仕していく。$	감등않다 배어 나오고 한 나의 쿠퍼를,$1은 주저 없게 혀끝에서 빨고 취해 철, 봉사해 나간다.
$^ややボリューム不足ではあるものの、ペニスを包む(.+?)の胸の刺激に、快感と共に満足感が俺を満たしていく。$	약간 볼륨 부족한 것은 않지만, 페니스를 싸는$1의 가슴의 자극에, 쾌감과 함께 만족감이 나를 채워 간다.
$^(.+?)は嬉しそうに、俺のペニスを胸で刺激する。$	$1(은)는 기쁜듯이, 나의 페니스를 가슴으로 자극한다.
$^小さな胸での奉仕だけれど、(.+?)の懸命な姿を材料に、快感と共に満足感が俺を満たしていく。$	작은 가슴에서의 봉사이지만,$1의 열심인 모습을 재료에, 쾌감과 함께 만족감이 나를 채워 간다.
$^少し下品なぐらいの音をたてながら、(.+?)は俺にフェラチオをしてくれる。$	조금 천한 정도가 소리를 내면서,$1는 나에게 펠라치오를 해 준다.
$^(.+?)はぱっと身体を離して、少し俺を怯えた様子で見る。$	$1(은)는 쫙 신체를 떼어 놓아, 조금 나를 무서워한 모습으로 본다.
$^口を噤んで、何度も言おうとして、(.+?)は戸惑う。$	입을 금응으로, 몇번이나 말하려고,$1는 당황한다.
$^俺は(.+?)の言葉を待った。$	나는$1의 말을 기다렸다.
$^搾り出すような(.+?)の言葉を、俺はゆっくりと聞く。$	짜기 시작하는 것 같은$1의 말을, 나는 천천히 (듣)묻는다.
$^(.+?)の俺を求めてくる姿に、胸が温かくなった。$	$1의 나를 요구해 오는 모습에, 가슴이 따뜻해졌다.
$^(.+?)の奉仕に、絶頂感が込み上げてくる。$	$1의 봉사에, 절정감이 울컥거려 온다.
$^どうせ出すなら、思いきり(.+?)の中に出したい。$	어차피 낸다면, 마음껏$1의 안에 내고 싶다.
$^(.+?)、ちょっと止まってくれ。$	$1, 조금 멈추어 줘.
$^俺の言葉に、(.+?)は素直に従って動きを止めた。$	나의 말에,$1는 솔직하게 따라서 움직임을 멈추었다.
$^出すなら、(.+?)の口の中に思いっきり出したいんだ。$	낸다면,$1의 입속에 마음껏 내고 싶다.
$^(.+?)の返事を聞いて、俺はその口に思い切りペニスを捻じ込んだ。$	$1의 대답을 (들)물어, 나는 그 입에 마음껏 페니스를 념 글자 붐비었다.
$^(.+?)の身体をあますところなく、再び自分だけのモノにしたという欲望から、俺は乱暴に掻き回していく。$	$1의 신체를 남기는 곳(중) 없고, 다시 자신만의 물건으로 했다고 하는 욕망으로부터, 나는 난폭하게 휘저어 간다.
$^激しく突き入れられるペニスに、(.+?)は苦しそうにしながらも、嫌がったりはしなかった。$	격렬하게 찔러 넣을 수 있는 페니스에,$1는 괴로운 듯하게 하면서도, 싫어하거나는 하지 않았다.
$^(.+?)の心遣いと口内の快感に、俺のペニスが限界へと近づく。$	$1의 배려와 입안의 쾌감에, 나의 페니스가 한계로 가까워진다.
$^あまりに乱暴にし過ぎたのか、苦しそうにする(.+?)。$	너무나 난폭하게 너무 했는지 , 괴로운 듯하게 한다$1.
$^そう言いながら、俺は(.+?)の口にペニスを捻じ込む。$	그렇게 말하면서, 나는$1의 입에 페니스를 념 글자 붐빈다.
$^出すよ、このまま(.+?)の口の中でっ！$	내, 이대로$1의 입 중(안)에서!
$^(.+?)は苦しそうにしながらも、ペニスに舌を這わせて、吸い上げる。$	$1(은)는 괴로운 듯하게 하면서도, 페니스에 혀를 기게 해, 빨아 올린다.
$^ペニスで(.+?)を制圧する快感に身を委ね、俺は\1の喉奥に思い切りペニスを突き入れた。$	페니스로$1를 제압하는 쾌감에 몸을 바쳐 나는\1의 목 안에 마음껏 페니스를 찔러 넣었다.
$^(.+?)の頭を逃がさないように頭を押さえつけ、喉奥に精液を迸らせる。$	$1의 머리를 놓치지 않게 머리를 억눌러 목 안에 정액을 내뿜게 한다.
$^あまりの快感に腰が抜けそうになってしまうが、一滴たりとも零させないと俺は(.+?)の口内を犯し尽くしていく。$	지나친 쾌감에 넋을 잃을 것 같게 되어 버리지만, 한 방울이라도 흘리게 한 없으면 나는$1의 입안을 다 범해 간다.
$^尿道に残った俺の精液を、(.+?)は丹念に吸い上げる。$	요도에 남은 나의 정액을,$1은 열심히 빨아 올린다.
$^それから(.+?)は、まだ物足りなそうに、俺のペニスに舌を這わせて掃除した。$	그리고$1는, 아직 어딘지 부족한 듯이  , 나의 페니스에 혀를 기게 해 청소했다.
$^一通りペニスを掃除し終えると、(.+?)は口を離した。$	대충 페니스를 청소 끝마치면(자),$1는 입을 떼어 놓았다.
$^(.+?)は嬉しそうにしているが、まだ足りない。$	$1(은)는 기쁜듯이 하고 있지만, 아직 부족하다.
$^これで終わりじゃないよね、(.+?)。$	이것으로 마지막이 아니지요,$1.
$^俺の言葉に(.+?)は頷いて、体勢を変えた。$	나의 말에$1는 수긍해, 몸의 자세를 바꾸었다.
$^そのまま、(.+?)の秘部に俺のペニスを当てがう。$	그대로,$1의 비부[秘部]에 나의 페니스를 기대.
$^いきなりの挿入に(.+?)は大きな声を上げた。$	갑자기의 삽입에$1는 큰 소리를 높였다.
$^あれ、(.+?)。もしかして、挿れられただけでイっちゃったの？$	저것,$1. 혹시, 삽만으로 이의?
$^少し息を荒くして、(.+?)は恥ずかしそうに言った。$	조금 숨을 난폭하게 해,$1는 부끄러운 듯이  말했다.
$^(.+?)の息は荒いが、しかしそう言うならと、俺は腰を動かし始めた。$	$1의 숨은 난폭하지만, 그러나 그렇게 말한다면과 나는 허리를 움직이기 시작했다.
$^(.+?)を染め上げていくように、その膣内をあますところなくペニスで擦り上げる。$	$1(을)를 염색해 내 가도록(듯이), 그 질내를 남기는 곳(중) 없게 페니스로 켠다.
$^きつく締め上げる膣内を味わうように腰を振っていると、(.+?)の中がヒクヒクと震え始めた。$	힘들게 조르는 질내를 맛보도록(듯이) 허리를 털고 있으면(자),$1의 안이 흠칫흠칫와 떨리기 시작했다.
$^(.+?)の肉襞が蠢き、収縮して俺のペニスから精液を絞り出そうと熱く震えた。$	$1의 고깃주름이 준 와, 수축해 나의 페니스로부터 정액을 짜기 시작하려고 뜨겁게 떨렸다.
$^(.+?)、またイったの？$	$1, 또 이의?
$^俺は腰の動きを止めて、絶頂の余韻に浸っている(.+?)に聞いた。$	나는 허리의 움직임을 멈추어, 절정의 여운에 잠겨 있는$1에 들었다.
$^(.+?)のおまんこ、まだ俺のチンポを締め付けてるよ。エッチなおまんこだね。$	$1의 보지, 아직 나의 자지를 단단히 조이고 있어. 음란한 보지구나.
$^エッチで可愛い(.+?)の言葉に、俺はそう答えた。$	음란하고 사랑스러운$1의 말에, 나는 그렇게 대답했다.
$^嬉しそうに喘ぎ声を上げながら、(.+?)は大きな声で言った。$	기쁜듯이 허덕이는 소리를 올리면서,$1는 큰 소리로 말했다.
$^(.+?)の情熱的な言葉を聞いて、俺はその胸に手を伸ばす。$	$1의 정열적인 말을 (들)물어, 나는 그 가슴에 손을 뻗는다.
$^(.+?)の物欲しげな声に、俺の中で込み上げるものがあった。$	$1의 갖고 싶어하는 듯한 소리에, 나중에서 울컥거리는 것이 있었다.
$^分かってるよ、(.+?)。もうすぐ出すから……！$	알고 있어,$1. 이제 곧 내기 때문에……!
$^愛液が滴る(.+?)の膣内を、俺のペニスで味わい尽くしていく。$	애액이 방울져 떨어지는$1의 질내를, 나의 페니스로 다 맛봐 간다.
$^快感に咽ぶ声を聞きながら、俺は(.+?)の膣内、その子宮を俺の精液で満たすべく、思いきり腰を打ちつける。$	쾌감에 목이 메는 소리를 들으면서, 나는$1의 질내, 그 자궁을 나의 정액으로 채울 수 있도록, 마음껏 허리를 쳐 붙인다.
$^そろそろ出すよ、(.+?)！$	슬슬 내,$1!
$^甘くねだる(.+?)の声に、俺のペニスがさらに硬くなっていく。$	감구 조르는$1의 소리에, 나의 페니스가 한층 더 딱딱하게 되어 간다.
$^そうだね。俺も、(.+?)のイク顔が見たい。$	그렇다. 나도,$1의 이크얼굴을 보고 싶다.
$^正面から(.+?)に抱きつくと、\1は俺を逃すまいとばかりに足を絡ませた。$	정면에서$1에 안아 붙으면(자),\1는 나를 놓치지 않든지(뿐)만에 다리를 얽히게 할 수 있었다.
$^(.+?)の歯も歯茎も味わい、唾液を流し込ませる。$	$1의 이빨이나 잇몸도 맛봐, 타액을 흘려 넣게 한다.
$^このまま、出すよ……！　(.+?)、ちゃんとおまんこで、俺の精液を飲むんだよ？$	이대로, 내……!　$1, 분명하게 보지로, 나의 정액을 마셔?
$^顔を離して、俺は(.+?)を見た。$	얼굴을 떼어 놓아, 나는$1을 보았다.
$^俺は(.+?)に抱きつくと、一番奥までペニスを捻じ込んだ。$	나는$1에 안아 붙으면(자), 가장 안쪽까지 페니스를 념 글자 붐비었다.
$^俺の最後の一突きと共に(.+?)も絶頂する。$	나의 마지막 1 찌르기와 함께$1도 절정 한다.
$^(.+?)の顔を見ながら、どくどくっと精液を膣内に吐き出していく度に、征服感と放出感で堪らなく心地良くなる。$	$1의 얼굴을 보면서, 철철 와 정액을 질내에 토해내 갈 때에, 정복감과 방출감으로 감등 없고 마음 좋아진다.
$^絶頂の余韻に浸りながら、(.+?)は甘い声を漏らした。$	절정의 여운에 잠기면서,$1는 단 소리를 흘렸다.
$^(.+?)は俺の専属だ。誰にも渡さない。$	$1(은)는 나의 전속이다. 누구에게도 건네주지 않는다.
$^(.+?)の心からの言葉に、俺の中で再び欲望が沸き起こり始めた。$	$1의 진심으로의 말에, 나중에서 다시 욕망이 끓어오르기 시작했다.
$^(.+?)もその事に気付くと、緩んでいた足に力を込める。$	$1도 그 일을 알아차리면(자), 느슨해지고 있던 다리에 힘을 집중한다.
$^そんな(.+?)に欲望をぶつけるべく、俺は再びその身体に没頭するのだった。$	그런$1에 욕망을 부딪칠 수 있도록, 나는 다시 그 신체에 몰두하는 것이었다.
$^部屋にいると、(.+?)がやってきて一枚のディスクを手渡された。$	방에 있으면(자),$1가 와 한 장의 디스크를 건네 받았다.
$^(.+?)が、他の男に抱かれる、その背徳的な興奮をもう一度味わいたくて、俺は専属メイドである\1に動画を撮ってきてもらったのだ。$	$1하지만, 다른 남자에게 안기는, 그 배덕적인 흥분을 한번 더 맛보고 싶어서, 나는 전속 메이드인\1에 동영상을 찍어 와 주었던 것이다.
$^言いよどみながらも、ゆっくりと話し続ける(.+?)。$	말이 막히면서도, 계속 천천히 이야기한다$1.
$^(.+?)は小さく頭を振ってから、もう一度こちらに向き直る。$	$1(은)는 작게 머리를 털고 나서, 한번 더 이쪽에 다시 향한다.
$^うん。ありがとね、(.+?)。$	응. 고마워,$1.
$^(.+?)はきちんと命令通りに撮影をしてきたようだ。$	$1(은)는 제대로 명령 대로에 촬영을 해 온 것 같다.
$^本当に、このディスクの中に、他の男と乱れる(.+?)の姿が。$	정말로, 이 디스크안에, 다른 남자와 흐트러지는$1의 모습이.
$^(.+?)は何かを言いかけて、きゅっと唇を引き結ぶ。$	$1(은)는 무엇인가를 이야기를 시작해, 꽉 입술을 당겨 묶는다.
$^当たり前だよ。俺は恥ずかしがってる(.+?)が見たいんだから。$	당연해. 나는 부끄러워하고 있는$1을 보고 싶기 때문에.
$^(.+?)は耳まで真っ赤にして、小さく呟いた。$	$1(은)는 귀까지 새빨갛게 해, 작게 중얼거렸다.
$^恥ずかしがる(.+?)を隣に呼び寄せてから、俺は再生ボタンを押した。$	부끄러워하는$1을 근처에 불러오고 나서, 나는 재생 버튼을 눌렀다.
$^はーい。それじゃあ改めて、こんにちは、(.+?)ちゃん。$	네. 그러면 아 재차, 안녕하세요,$1.
$^えーっと、じゃあまず、(.+?)ちゃんはこのエンパイアクラブに所属するメイドさん、なんだよね？$	네-와 자 우선,$1는 이 엠파이어 클럽에 소속하는 가정부, 야?
$^そっかぁ。今回は(.+?)ちゃんの紹介用動画ということだけど、今どんな気分かな？$	그래. 이번은$1의 소개용 동영상이라고 하는 것이지만, 지금 어떤 기분일까?
$^そっか、ご主人様が羨ましいなぁ……(.+?)ちゃんみたいな可愛い女の子の処女をもらえるなんてね。$	그래, 주인님이 부럽다……$1같은 사랑스러운 여자 아이의 처녀를 받을 수 있다니.
$^それでさ……確か、(.+?)ちゃんはお尻でエッチしたこと、あるんだよね？$	그래서 ……확실히,$1는 엉덩이로 섹스한 것, 있어?
$^へぇえ～っ！　意外だなぁ、(.+?)ちゃんみたいな純真な女の子がけつまんこでセックスしちゃってたんだ？$	에 네~!　의외이다,$1같은 순진한 여자 아이 벼랑 뜯지 않는 개로 섹스응이야?
$^(.+?)ちゃんってさぁ、意外と淫乱なんじゃない？$	$1는 , 의외로 음란한 것이 아니야?
$^うーん、お約束ってやつかな。これを見てくれる人に、(.+?)ちゃんのことを知ってもらわなくちゃいけないからさ。$	응, 약속은 녀석일까. 이것을 봐 주는 사람에게,$1를 알리지 않으면 안 되기 때문에.
$^うん、カメラに向かって教えてくれる？　(.+?)ちゃんが気持ちよくなっちゃうところ。$	응, 카메라로 향해 가르쳐 줄래?　$1가 기분 좋아지려는 참.
$^すごいな、(.+?)ちゃんは……$	대단해,$1는……
$^ふふ、エッチな(.+?)ちゃんは、普通の女の子よりやっぱり感じちゃうかな？$	후후, 음란한$1는, 보통 여자 아이보다 역시 느껴버릴까?
$^(.+?)ちゃんはハメながらクリを触られるのが好き、なんだ……ふふっ……$	$1는 하메면서 구리를 손대어지는 것이 좋아해, 야……후후……
$^はは、赤くなっちゃって。じゃあ、(.+?)ちゃんはいい意味で真っ白な女の子って事なのかな？$	(은)는은, 붉어져 버려서. 자,$1는 좋은 의미로 새하얀 여자 아이는 일인가?
$^何かあるみたいな言い方しちゃって！　ふふ、可愛いなぁ、(.+?)ちゃんは。$	무엇인가 있는 것 같은 말투 해 버려서!　후후, 사랑스럽다,$1는.
$^(.+?)ちゃん、ちょっと緊張気味かな、リラックスして答えてね……えーっと、\1ちゃんのご主人様から聞いたんだけどさ、\1ちゃんってちょっとエムっぽいところ……あるんだ？$	$1, 조금 긴장 기색일까, 릴렉스 해 대답해……-와\1의 주인님으로부터 (들)물었지만,\1는 조금 M 같은 곳……있지?
$^へぇぇ……(.+?)ちゃんは痛いのが好きなマゾなんだ？$	에 ……$1는 아픈 것이 좋아하는 마조야?
$^……(.+?)ちゃん、さっきから照れてるけど、ちょっと嬉しそうな感じするね？　変態っぽい事もご主人様としたりしちゃってる？$	……$1, 조금 전부터 수줍고 있지만, 조금 기쁜 듯한 느끼고 하는군?　변태 같은 일도 주인님으로 하거나 해 버린다?
$^……ねぇ、(.+?)ちゃんは自分からしたりするのが好きだったりする？$	……응,$1는 자신으로부터 하거나 하는 것을 좋아하기도 하다?
$^う～ん。(.+?)ちゃんはよく出来たメイドさんだね。$	으응. $1는 잘 할 수 있던 가정부구나.
$^う～ん、(.+?)ちゃんはよく出来たメイドさんだねぇ。ご主人様が羨ましいよ。$	으응,$1는 잘 할 수 있던 가정부구나. 주인님이 부러워.
$^そういえば(.+?)ちゃんはちょっと変わったエッチの経験はあるのかな？$	그러고 보면$1는 조금 바뀐 외설의 경험은 있는 것일까?
$^ふふ、初心で可愛いね、(.+?)ちゃんは。エッチな女の子だったら3Pぐらいした事があるんじゃないかなぁ？$	후후, 초심으로 사랑스럽다,$1는. 음란한 여자 아이라면 3 P정도 한 일이 있지 않을까?
$^そっか、(.+?)ちゃんはご主人様に大事にされてるんだね。$	그래,$1는 주인님에게 소중하게 되고 있어.
$^たしかに、でも気持ちわかるよ。(.+?)ちゃん可愛いからね。$	분명히, 그렇지만 기분 알아. $1사랑스러우니까.
$^そんな事無いよ！　僕は(.+?)ちゃんみたいな女の子、大好きだな……$	그런 일 없어!　나는$1같은 여자 아이, 정말 좋아하다……
$^本当に(.+?)ちゃんのご主人様が羨ましくなってきたなぁ……$	정말로$1의 주인님이 부러워졌군……
$^そんな事ないよ、可愛いよ、(.+?)ちゃん。むしろ僕はそっちのほうが好きだなぁ。$	그런 일 없어, 사랑스러워,$1. 오히려 나는 그쪽 쪽이 좋아하는구나.
$^全然、(.+?)ちゃんのおっぱい、すっごくかわいいよ～$	전혀,$1의 젖가슴, 대단히 귀여워∼
$^おぉ～……！　(.+?)ちゃんのおっぱい、大っきくて柔らかそうだねぇ。$	∼……!　$1의 젖가슴, 대국화라고 부드러운 것 같다.
$^おぉ～……！　キレイだよ、(.+?)ちゃん。ちっちゃいけど、それがすっごく可愛い……！$	∼……!　깨끗해,$1. 작지만, 그것이 대단히 사랑스럽다……!
$^おおっ？　(.+?)ちゃんのアソコつるつるだね？　ご主人様の趣味かな？$	?　$1의 아소코 반들반들이구나?　주인님의 취미일까?
$^知ってる？　こういうのパイパンっていうんだよ？　(.+?)ちゃんってパイパンなんだ。$	알고 있어?　이런 것 백보지라고 해?　$1는 백보지야.
$^(.+?)ちゃんって、綺麗なおまんこしてるんだね……よく見えるよ。$	$1는, 깨끗한 보지 하고 있어……자주(잘) 보여.
$^(.+?)ちゃん。$	$1.00 
$^どうしたの、(.+?)ちゃん？　もうここまでしちゃってるんだからさ、どうせならこれを見てる人に楽しんでもらおうよ。$	왜,$1?　이제(벌써) 여기까지 해 버린다 이니까 , 어차피라면 이것을 보고 있는 사람이 즐겨 주자.
$^(.+?)ちゃんはエッチだね。$	$1는 음란하다.
$^そんな、我慢する必要なんてないよ。カメラに向かって、(.+?)ちゃんがイクところを見てもらおうね。$	그런, 참는 필요하다니 않아. 카메라로 향해,$1가 이크곳을 보이자.
$^(.+?)ちゃん、積極的だね。$	$1, 적극적이구나.
$^あぁ、そこいいよ……。(.+?)ちゃん、上手上手。$	아, 저의 있어라……. $1, 능숙함 능숙함.
$^さすがだね、(.+?)ちゃん！　すごいテクだよ。$	과연이구나,$1!　대단한 테크닉이야.
$^(.+?)ちゃんのフェラテク、すごいな……。こんなの、すぐに出ちゃうな。……\1ちゃんの口に出していいか？$	$1의 페라 텍, 대단해……. 이런 건, 곧바로 나와버린다. ……\1가 말해도 좋은가?
$^(.+?)ちゃんは精液大好きなんだね。$	$1는 정액 정말 좋아하구나.
$^いい顔だよ、(.+?)ちゃん。ご主人様のをしゃぶるときもこんな顔なのかな？$	좋은 얼굴이야,$1. 주인님의 것을 빨 때도 이런 얼굴인가?
$^んっ……！　僕のも全部飲んでね、(.+?)ちゃん。$	응……!　나의 것도 전부 마셔,$1.
$^しかもお掃除まで……あぁ、気持ち良いよ、(.+?)ちゃん。$	게다가 청소까지……, 기분 좋아,$1.
$^(.+?)ちゃんのフェラテク、中々いいね。もうこんなに硬くなっちゃったよ。$	$1의 페라 텍, 꽤 좋다. 이제(벌써) 이렇게 딱딱해져 버렸다.
$^(.+?)ちゃんさ、どっちのチンポの方が好き？$	$1, 어느 쪽의 자지가 좋아해?
$^それじゃあさ。(.+?)ちゃんのご主人様のと、どっちがいい？$	그러면 아침. $1의 주인님의 것과 어느 쪽이 좋아?
$^そっか。それじゃあまあ、(.+?)ちゃんのご主人様と同じくらいって事にしておこうか。$	그래. 그러면 여승아,$1의 주인님과 같은 정도는 일로 해 둘까.
$^それじゃ(.+?)ちゃん、今日はどこの穴でエッチでするんだっけ？$	그러면$1, 오늘은 어디의 구멍에서 외설로 하는 건가?
$^えー、(.+?)ちゃん。ダメだよ、カメラに向かって、ちゃんとご主人様に報告しなきゃ。$	네―,$1. 안되어, 카메라로 향해, 분명하게 주인님에게 보고하지 않으면 안된다.
$^ちゃんと言えて偉いね、(.+?)ちゃん。$	제대로 말할 수 있어 훌륭하다,$1.
$^じゃあ、(.+?)ちゃんのおまんこにチンポ入れちゃうよ。$	자,$1의 보지에 자지 넣어버린다.
$^俺も気持ちいいよ、(.+?)ちゃんのおまんこ。すごい締めつけなのに、熱くて、ぬるぬるで……最高だよ。$	나도 기분이 좋아,$1의 보지. 대단히 잡고 청구서인데, 뜨거워서, 미끈미끈으로……최고야.
$^はは、次に(.+?)ちゃんとおまんこするチンポだからね。丁寧に頼むよ。$	(은)는은, 다음에$1분명하게 보지 하는 자지니까. 정중하게 부탁해.
$^そろそろこっちもイキそうだから、一緒にイこうか(.+?)ちゃん。$	슬슬 여기도 이키 그렇기 때문에, 함께 이 이러한가$1.
$^(.+?)ちゃん、どこに出して欲しい？$	$1, 어디에 냈으면 좋아?
$^実はね、(.+?)ちゃんのご主人様から中はダメだって言われてるんだけど……$	실은,$1의 주인님으로부터 안은 안된다고 말해지고 있었지만……
$^(.+?)ちゃんが中でいいって言った場合だけ、中出ししてもいいって言われてるんだ。$	$1가 안으로 좋다고 말했을 경우만, 질내사정해도 된다고 말해지고 있어.
$^俺は(.+?)ちゃんに中出ししたいなぁ……熱くて濃い精液、たくさん出してあげるよ？$	나는$1에 질내사정하고 싶다……뜨겁고 진한 정액, 많이 내 줄게?
$^そうだよ、(.+?)ちゃん。\1ちゃんが望むなら、俺たちが何回だって中出ししてあげるからさ。$	그래,$1. \1가 바란다면, 우리들이 몇회도 질내사정 해 주기 때문에.
$^派手にイったね、(.+?)ちゃん。$	화려하게 이군요,$1.
$^ははっ、よく言えたね、偉いよ(.+?)ちゃんっ！$	(은)는 하, 자주(잘) 말할 수 있었군요, 훌륭해$1!
$^マジで最高だったよ、(.+?)ちゃん。$	진짜로 최고였다,$1.
$^ああ……すごい気持ちよかったよ、(.+?)ちゃん。$	아……대단히 기분 좋았어요,$1.
$^じゃあ、(.+?)ちゃんの可愛いアナルにチンポ入れちゃうよ。$	자,$1의 사랑스러운 애널에 자지 넣어버린다.
$^俺も気持ちいいよ、(.+?)ちゃんのけつまんこ。チンポをぎゅうって締めつけて、熱くて……最高だよ。$	나도 기분이 좋아,$1의 결정 보지. 자지를 꾸욱 잡고 붙여, 뜨거워서……최고야.
$^はは、次に(.+?)ちゃんを気持ちよくするチンポだからね。丁寧に頼むよ。$	(은)는은, 다음에$1를 기분 좋게 하는 자지니까. 정중하게 부탁해.
$^今の(.+?)ちゃんのアナル、キツすぎずユルすぎずで、すごくいいよ。$	지금의$1의 애널, 귤나무 지나지 않고 율 지나지 않고로, 몹시 좋아.
$^(.+?)ちゃんけつまんこでするの好き？$	$1결정 보지로 하는 것 좋아?
$^あぁ、そんなに変態な(.+?)ちゃんには……$	아, 그렇게 변태인$1에는……
$^挿れるよ、(.+?)ちゃん。$	삽야,$1.
$^(.+?)ちゃん、気持ち良さそうな声になってきたね。２穴でハメられるのってどんな感じ？$	$1, 기분 좋음 그런 소리가 되어 왔군요. 2구멍에서 하메올라 어떤 느낌?
$^もう少しだから(.+?)ちゃん、我慢して……！$	좀 더이니까$1, 참아……!
$^動画が終わり、俺は傍らに控える(.+?)に目を向けた。$	동영상이 끝나, 나는 옆에 앞두는$1에 관심을 가졌다.
$^(.+?)はその身体をビクッと震わせたあと、不安の色をたたえた瞳で見つめ返してくる。$	$1(은)는 그 신체를 비쿡과 진동시킨 뒤, 불안의 색을 기린 눈동자로 응시하고 돌려주어 온다.
$^(.+?)を落ち着かせるために、静かにそう口にする。$	$1(을)를 침착하게 하기 위해서(때문에), 조용하게 그렇게 말한다.
$^(.+?)を犯したい。$	$1(을)를 범하고 싶다.
$^いきり立ったペニスを、今すぐにでも(.+?)に突っ込んで喘がせてやりたい。$	격분한 페니스를, 금방이라도$1에 돌진해 허덕이게 해 주고 싶다.
$^(.+?)……俺が今なにを考えてるか、わかる？$	$1……내가 지금 무엇을 생각하고 있어, 알아?
$^怯えてしまったのか、目を伏せて声を震わせる(.+?)に、なにも悪いところはない。撮影を決めたのは俺だからだ。$	무서워해 버렸는지, 눈을 숙여 소리를 진동시키는$1에, 굳이 나쁜 곳은 없다. 촬영을 결정한 것은 나이기 때문이다.
$^だが、専属メイドである(.+?)が、名前も知らない二人の男を相手に乱れていた。$	하지만, 전속 메이드인$1이, 이름도 모르는 두 명의 남자를 상대에게 흐트러지고 있었다.
$^(.+?)に生で挿入したまま、身体を震わせて射精する男の姿が思い出される。$	$1에 생으로 삽입한 채로, 신체를 진동시켜 사정하는 남자의 모습이 생각난다.
$^アナルに挿入され、歓喜に震える(.+?)の表情が思い出される。$	애널에 삽입되어 환희에 떨리는$1의 표정이 생각난다.
$^自分への思いからか、戸惑う場面もあったが、最後には喜んで男たちのペニスを受け入れていた(.+?)の姿が思い出される。$	자신에게로의 생각때문인지, 당황하는 장면도 있었지만, 마지막에는 기뻐해 남자들의 페니스를 받아들이고 있었다$1의 모습이 생각난다.
$^立ち上がり、(.+?)の手首を握りしめる。$	일어서,$1의 손목을 잡아 습기찬다.
$^強く握りしめたにも関わらず、(.+?)は抵抗することもなく俺の後をついてくる。$	강하게 잡아 닫았음에도 관련되지 않고,$1는 저항할 것도 없게 나가 뒤따라 온다.
$^(.+?)は部屋に居るかな……？$	$1(은)는 방에 있을까……?
$^仕事を全て片付け、手が空いた所で(.+?)の部屋へと向かう。$	일을 모두 정리해 시간이 난 곳에서$1의 방으로 향한다.
$^(.+?)、入るよー？$	$1, 들어가―？
$^俺はついノックもせずに扉を開けて、(.+?)の部屋へと入ってしまった。$	나는 무심코 노크도 하지 않고 문을 열어,$1의 방으로 들어가 버렸다.
