$^遠いところありがとうね、(.+?)くん。$	먼 곳까지 와줘서 고마워요, $1군.
$^あぁ、ありがとう、(.+?)。$	아, 고마워, $1.
$^(.+?)にビシっと注意されて、俺は若干肩を落とした。$	$1에 변태라고 주의를 받아서, 나는 약간 낙담했다.
$^(.+?)、すっごくよかったよ$	$1, 대단히 좋았어.
$^ん……(.+?)……？$	응……$1……?
$^(.+?)……その、飲み過ぎじゃない……？$	$1……그, 너무 많이 마신 거 아냐……?
$^そ、そう？　(.+?)がそう言うならいいんだけど……$	그, 그래? $1가 그렇게 말한다면 괜찮지만……
$^うーん、そ、そうだよ！　(.+?)がこれ以上酔うなら、全力でエッチな事しちゃうぞ。だから……$	응, 그, 그래! $1가 더 이상 취한다면, 전력으로 음란한 일 해 버릴거야. 그러니까……
$^(.+?)、大丈夫？　少し休もうか？$	$1, 괜찮아? 조금 쉴까?
$^大丈夫、(.+?)？　水でも飲む？$	괜찮아, $1? 물이라도 마실래?
$^うん、可愛い。それに、(.+?)みたいな女の子だと、余計にそう感じるね。$	응, 귀여워. 게다가, $1같은 여자라면, 더 그렇게 느껴지네.
$^ん？　大丈夫、(.+?)？$	응? 괜찮아, $1?
$^うーん……。(.+?)さ、少し飲み過ぎてないかな？$	응……. $1, 조금 과음한게 아닐까?
$^それは嬉しいな。(.+?)にそんな風に言ってもらえると、もっと頑張れる気がしてくるよ。$	그것은 기쁜데. $1에 그런 식으로 들을 수 있으면, 좀 더 노력할 수 있겠단 생각이 들어.
$^あはは、(.+?)って酔っ払うとそんな感じになるんだね……$	아하하, $1는 몹시 취하면 그런 기분이 드는 거구나……
$^俺も幸せだよ、(.+?)。$	나도 행복해, $1.
$^いつまでも続いて欲しいっていうのは確かだけど、なんていうか、(.+?)と一緒に時間を重ねたい、みたいな。$	언제까지나 계속되었으면 좋다고 말하는 것은 확실하지만, 뭐라고 할까, $1와 함께 시간을 쌓아가고 싶다, 같은.
$^変わらない永遠より、(.+?)との一瞬を生きていたい。$	변함없는 영원보다, $1와의 순간을 살고 싶다.
$^ふふ……可愛い(.+?)。$	후후……귀여운 $1.
$^(.+?)……あまり細かい事は言いたくないんだけど、お酒、飲み過ぎじゃないかな？$	$1……너무 세세한 일은 말하고 싶지 않지만, 술, 과음이 아닐까?
$^(.+?)……もちろん、好きだよ。決まってるじゃないか。$	$1……물론, 좋아해. 정해져있는이 아닌가.
$^ドアを開け(.+?)が部屋に入ってくる。$	문을 열고 $1가 방에 들어온다.
$^(.+?)はさくらちゃんに押し倒されている俺を見て驚いた声を上げる。$	$1는 사쿠라에게 밀어 넘어뜨려지고 있는 나를 보고 놀라 소리를 높였다.
$^(.+?)、こ、これはえっと……$	$1, 이, 이건 그러니까……
$^そんなの(.+?)じゃなくてもビックリしてしまう。$	그런 건 $1가 아니어도 깜짝 놀라 버려.
$^しかし、(.+?)の反応はそれだけでは収まらない。$	그러나, $1의 반응은 그것만으로는 가라앉지 않는다.
$^(.+?)、落着いて話そうよ……$	$1, 침착하게 말할게……
$^(.+?)は納得できない様子で、俺の顔をじっと見る。$	$1는 납득할 수 없는 모습으로, 나의 얼굴을 가만히 본다.
$^(.+?)、どうかした？$	$1, 무슨일이야?
$^(.+?)、ど、どうかした？$	$1, 어, 어쩌다가?
$^(.+?)が怒りで肩を震わせる。$	$1가 분노로 어깨를 떤다.
$^(.+?)の視線が俺に刺さる。$	$1의 시선이 나에 꽂힌다.
$^(.+?)のじとっと視線が俺に刺さる。$	$1의 불쾌해 보이는 시선이 나에게 박힌다.
$^(.+?)が勢いよくさくらちゃんを指さす。$	$1가 힘차게 사쿠라쨩을 가리키다.
$^(.+?)がさくらちゃんに向き直る。$	$1가 사쿠라쨩으로 방향을 바꾼다.
$^(.+?)が意を決したようにさくらちゃんに話しかける$	$1가 뜻을 결정한 것처럼 사쿠라에게 말을 걸었다.
$^(.+?)が氷すらも凍てつくような瞳でさくらちゃんに話しかける。$	$1가 얼음조차 얼려버릴 것 같은 눈동자로 사쿠라쨩에게 말을 건넨다.
$^こうして、何故か(.+?)とさくらちゃんがメイドバトルを行うことになった。$	이렇게 해서, 왠지 $1와 사쿠라쨩이 메이드 배틀을 벌이게 됐다.
$^バトルまでに(.+?)の誤解が解ければいいけど……$	배틀이 시작되기 전까지 $1의 오해가 풀리면 좋겠는데……
$^(.+?)とさくらちゃんの戦いは終わった――。$	$1와 사쿠라쨩의 싸움은 끝났다――.
$^勝ったのは(.+?)だった。$	이긴 것은 $1였다.
$^しかし、戦い終了直後に(.+?)の誤解は解けた。$	그러나, 싸움이 끝난 직후 $1의 오해는 풀렸다.
$^なんでも、これから(.+?)が館内を案内して回ることになったのだという。$	어쨌든, 이제부터 $1가 관내를 안내해주면서 돌아다니기로 한 것 같다.
$^(.+?)の話によると、品評会なるものが催しとして行われるみたいだ。$	$1의 이야기에 의하면, 품평회 되는 것이 행사로서 행해지는 것 같다.
$^俺が品評会について聞いてみると、(.+?)は首を傾げる。$	내가 품평회에 대해 들어 보면, $1는 고개를 갸웃한다.
$^(.+?)に聞いてみても、詳しい情報は無いみたいだった。$	$1에게 들어 봐도, 자세한 정보는 없는 것 같았다.
$^部屋で作業していると、(.+?)が俺に品評会が開催される事を伝えてくれた。$	방에서 작업하고 있으면(자), $1가 나에게 품평회가 개최되는 일을 전해 주었다.
$^ふぅん……(.+?)達の普段の努力を評価してくれる場所、か。$	응…… $1들의 평상시의 노력을 평가해 주는 장소, 인가.
$^テストみたいなものか、(.+?)ならきっと優秀な結果を残せると思うよ。$	테스트같은 것인가, $1라면 반드시 우수한 결과를 남길 수 있다고 생각해.
$^はぁ、はぁ……。(.+?)は綺麗だね……。$	후~, 하아……. $1는 예쁘다…….
$^(.+?)が魅力的なのが悪いんだよ？$	$1가 매력적인 것이 나빠?
$^はは、それならそうかもね。……(.+?)、いつも見てるんだ？$	는은, 그렇다면 그럴지도. ……$1, 언제나 보고 있지?
$^はいはい。じゃあ、たまにはこういう格好もしてくれる？　(.+?)だけを見るから、ね？$	네네. 그러면, 가끔 씩은 이런 모습도 해 주어? $1만을 보니, 까요?
$^何かあっても、そんな格好で泥酔してた(.+?)が悪いんだからね？$	뭔가 있어도, 그런 모습으로 만취하고 있었던$1이 나쁘기 때문에?
$^そんな格好で泥酔した(.+?)に、何もしないと思う？　まあでも責任は取るから、(.+?)は気にせず泥酔してよ。$	그런 모습으로 만취한$1에, 아무것도 하지 않는다고 생각해? 뭐 그렇지만 책임을 지기 때문에, $1는 신경쓰지 않고 만취해요.
$^え？　そんなの決まってるじゃないか。エッチな格好の(.+?)だよ……お酒が進むなぁ。$	네? 그런 것 정해져 있지 않은가. 엣치한 모습의$1야…… 술이 진행되는구나.
$^ぷいっと少し赤く染まった顔をそむける(.+?)を見ながら、俺は酒を楽しむ。$	휙 조금 붉게 물든 얼굴을 돌리는$1을 보면서, 나는 술을 즐긴다.
$^なんだかお客様の視線が(.+?)に集中している気がする。$	어쩐지 고객의 시선이$1에 집중하고 있을 생각이 든다.
$^そうなんだけどね。でも(.+?)は俺のメイドで、お客様のものじゃないんだけどな……。$	그렇지만 말야. 그렇지만$1은 나의 메이드로, 고객의 것이 아니지만…….
$^あ、照れた？　照れる(.+?)もいいねー。$	아, 수줍었어? 수줍은$1도 좋다―.
$^それはの(.+?)の汗だよ。それに、震えてる。やっぱり緊張してたみたいだね。$	그것은의 $1의 땀이야. 게다가, 떨리고 있다. 역시 긴장하고 있던 것 같다.
$^お世辞じゃない。(.+?)は可愛い。これはただの事実だから。$	겉치레말이 아니다. $1는 사랑스럽다. 이것은 단순한 사실이니까.
$^自信がないからパス。(.+?)の勝ちでいいよ。$	자신이 없기 때문에 패스. $1의 승리로 좋아.
$^俺は絶対に負けられないけど、(.+?)の酒量が分からないからね。$	나는 절대로 질 수 없지만, $1의 주량이 모르기 때문에.
$^俺が酔い潰れたせいで、(.+?)の評価にマイナスをつけたくないし。$	내가 취해 무너진 탓으로, $1의 평가에 마이너스를 붙이고 싶지 않고.
$^(.+?)らしいけど、俺以外のお客様にあんまりそういう態度はやめておいたほうが。$	$1인것 같지만, 나 이외의 고객에게 너무 그러한 태도는 그만두는 편이.
$^俺は表裏のない人間だよ。(.+?)を可愛いと言ったのは本心だから。$	나는 표리가 없는 인간이야. $1를 사랑스럽다고 말한 것은 본심이니까.
$^だって俺は男だからね。(.+?)みたいな可愛い子とエッチ出来る機会は逃したくない。$	왜냐하면 나는 남자니까. $1같은 사랑스러운 아이와 엣치할 수 있을 기회는 놓치고 싶지 않다.
$^だけど今は、まずは(.+?)を一人前にしたいから……かな。$	그렇지만 지금은, 우선은$1을 한 사람 분으로 하고 싶기 때문에…… 일까.
$^実際、そうだからね。この世界での、(.+?)の価値が高まるんだ。$	실제, 그러니까. 이 세계에서의, $1의 가치가 높아진다.
$^(.+?)だって、思うところがあってこの世界に入ってきたんだろ？$	$1도, 생각하는 곳이 있어 이 세계에 들어 온 것일 것이다?
$^真面目だよ。時間だって惜しい。でも、(.+?)には必要だと思ったんだ。$	성실해. 시간이라도 아깝다. 그렇지만, $1에는 필요하다고 생각한 것이다.
$^だって、(.+?)から楽しい提案が出るって思ってたからね。$	왜냐하면, $1로부터 즐거운 제안이 나온다 라고 생각하고 있었기 때문에.
$^(.+?)はもっと実用的な本を読んでいるイメージがあってさ。$	$1는 좀 더 실용적인 책을 읽고 있는 이미지가 있어 말야.
$^まあ、マンガっていっても、お色気たっぷりの青年マンガだから、(.+?)とは好みが合わないだろうけど。$	뭐, 만화라고 해도, 색기 충분한 청년 만화이니까, $1와는 취향이 맞지 않겠지만.
$^勉強になるのに。でも確かに、まだ(.+?)には見て欲しくないかな。$	공부가 되는데. 그렇지만 확실히, 아직$1에는 보기를 원하지 않을까.
$^今(.+?)がＡＶを見たら、女優の艶技を覚えてしまうからね。だから、まだ見て欲しくない。$	지금$1이 AV를 보면, 여배우의 염 기술을 기억해 버리니까요. 그러니까, 아직 보기를 원하지 않다.
$^いや、あれはあれで、乗り慣れると色々と刺激が……(.+?)？　もしかして、本当に怒ってる？$	아니, 저것은 저것대로, 타 익숙해지면 다양하게 자극이……$1? 혹시, 정말로 화내고 있어?
$^(.+?)、好きな動物はいる？$	$1, 좋아하는 동물은 있어?
$^なるほど、(.+?)は動物に忠実さを求めているんだね。$	과연, $1는 동물에 충실함을 요구하고 있는 것이군.
$^そうだね。……というか(.+?)、普通に猫好きなんじゃないか？$	그렇다. …… 그렇다고 할까$1, 보통으로 고양이를 좋아하는 것이 아닌가?
$^え、俺が犬になるの？　俺はご主人様のはずなんだけど……その場合、(.+?)はどうなるんだ？$	네, 내가 개가 되는 거야? 나는 주인 같을 것이지만…… 그 경우, $1는 어떻게 되지?
$^(.+?)の好きな科目とか授業ってある？$	$1가 좋아하는 과목이라든지 수업은 있어?
$^なるほどね。なんか(.+?)らしいな。$	과연. 뭔가$1인것 같은데.
$^いつも(.+?)が頑張って仕事してくれて助かってるよ。$	언제나$1가 노력해 일해 주어 살아나고 있다.
$^だね。(.+?)との意外な共通点を見つけたね。$	(이)구나. $1와의 뜻밖의 공통점을 찾아냈군요.
$^え？　なになに、どうしたの急に……(.+?)、なんだか剣呑な雰囲気に。$	네? 뭐뭐, 무슨 일이야 갑자기……$1, 뭔가 위험한 분위기에.
$^そっか、(.+?)らしいね。$	그래, $1인것 같다.
$^いやいや、メイドのみんなが大変そうなのは俺も嫌だし。(.+?)だってそうでしょ？$	아니아니, 메이드의 모두가 대단한 것은 나도 싫고. $1라도 그렇겠지?
$^はは。でも(.+?)も夏のそういうところがいいんじゃないの？$	는은. 그렇지만$1도 여름의 그러한 곳이 좋은 것이 아닌거야?
$^そうかぁ。でも俺は一回でいいから(.+?)の浴衣姿も見てみたいよ。きっと似合うんだろうなぁ。$	그런가. 그렇지만 나는 1회로 좋으니까$1의 유카타 모습도 보고 싶어. 반드시 어울릴 것이다.
$^はは、そうだね。(.+?)の好きなものは、俺も好きでいたいからね。$	는은, 그렇네. $1가 좋아하는 것은, 나도 좋아하고 있고 싶으니까.
$^まぁ、俺はお肉より(.+?)のほうが好きってことで。$	아무튼, 나는 고기보다$1쪽이 좋아한다는 것으로.
$^そうだ。(.+?)の恋愛感を教えてよ。$	그렇다. $1의 연애감을 가르쳐요.
$^ああ、うん。納得した。とても、(.+?)らしいね。$	아, 응. 납득했다. 매우, $1인것 같다.
$^できるんじゃないかな？　(.+?)ならきっとお客様を楽しませるような事ができると思うよ。$	할 수 있는 것이 아닐까? $1라면 반드시 고객을 즐겁게 하는 것 같은 일이 생긴다고 생각한다.
$^まあ、まだ見ぬご主人様のことを考えるよりも、(.+?)は自分を磨くことだね。$	뭐, 아직 보지 않는 주인님의 일을 생각하는 것보다도, $1는 자신을 닦는 것이구나.
$^ちなみに俺は、(.+?)が恋人なら大歓迎だよ。$	덧붙여서 나는, $1가 연인이라면 대환영이야.
$^(.+?)は、休日どんな風に過ごしてる？$	$1는, 휴일 어떤 식으로 보내고 있어?
$^(.+?)なら、どんな服でも似合いそうなもんだけど。$	$1라면, 어떤 옷이라도 어울릴 것 같은 것이지만.
$^そうか。となると、(.+?)は食べ物がいいって事だ。$	그런가. 그렇게 되면, $1는 음식이 좋다는 일이다.
$^なるほどなぁ。(.+?)はその辺り、しっかり切り分けて考えてるんだね。$	과연. $1는 그 근처, 확실히 분리하고 생각하고 있는 것이군.
$^(.+?)の為に使いたい。$	$1를 위해서(때문에) 사용하고 싶다.
$^そうそう、(.+?)は俺のメイドなんだし。別に、おかしい事じゃないだろ？$	그렇게 자주, $1는 나의 메이드인거고. 별로, 이상한 일이 아닐 것이다?
$^そりゃそうだよ。というか、どうして(.+?)だけ呼ばないシチュエーションがあるんだ？$	그것은 그래. 라고 할까, 어째서$1만 부르지 않는 시추에이션이 있지?
$^そういうのをたかるって言うんだよ、(.+?)……。$	그러한 것을 모여든다 라고 말하는거야, $1…….
$^いやいや、自腹で行ってくれ。(.+?)。カジノにはあまり興味がないし。$	아니아니, 자기부담으로 가 줘. $1. 카지노에는 그다지 흥미가 없고.
$^そういえばそうだったね。まあ、(.+?)がアメリカに行きたいっていうのは伝わったけど。$	그렇게 말하면 그랬지. 뭐, $1가 미국에 가고 싶다고 말하는 것은 전해졌지만.
$^いや、ちょっとね。別に、(.+?)に似合わないってわけじゃないよ。$	아니, 조금. 별로, $1에 어울리지 않는다는 것이 아니야.
$^そうだろ？　ほら、(.+?)だってそう思うんじゃないか。$	그렇겠지? 이봐요, $1라도 그렇게 생각하는 것이 아닌가.
$^馬に乗ってる(.+?)も、絵になるんだろうなぁ。$	말을 타고 있는$1도, 그림이 될 것이다.
$^(.+?)の乗馬みたいに、夢中になれるものがあったらいいんだけどね。$	$1의 승마같이, 열중할 수 있는 것이 있으면 좋지만 말야.
$^はは、性にあってるのかな。(.+?)はどう？　メイドさん、楽しい？$	는은, 성에 있고 있는 것일까. $1는 어때? 가정부, 즐거워?
$^(.+?)はさ、血液型って信じる？$	$1는, 혈액형은 믿어?
$^はは。(.+?)に対しては、特にエッチかもね。可愛いから。$	는은. $1에 대해서는, 특히 엣치할지도. 사랑스러우니까.
$^はは。でも(.+?)が辛い目にあうよりは、いいかなって。$	는은. 그렇지만$1이 괴로운 꼴을 당하는 것보다는, 좋을까 하고.
$^じゃあ半分こにしよう。俺も(.+?)のこと、放ってはおけないよ。$	그러면 반 와로 하자. 나도$1의 일, 발해 둘 수 없어.
$^(.+?)の得意料理って何かな？$	$1의 자신있는 요리라는건 무엇이지?
$^いや、そのままのほうが(.+?)らしくていいと思うよ。$	아니, 그대로의 편이$1인것 같고 좋다고 생각한다.
$^俺も、(.+?)の手料理なら、色々食べてみたいな。$	나도, $1의 손요리라면, 여러가지 먹어 보고 싶은.
$^料理は愛情、だと思うからさ。(.+?)も楽しんでやったほうがいいよ。$	요리는 애정, 이라고 생각할테니까. $1도 즐겨 주는 편이 좋아.
$^はは。まぁ(.+?)が嫌なら、別に構わないよ。$	는은. 아무튼$1이 싫으면, 별로 상관없어.
$^違うって。(.+?)が可愛すぎるからいけないんだよ。$	다르다고. $1가 너무 사랑스럽기 때문에 안 돼.
$^それはやっぱり、(.+?)だからね。エッチも好きになるよ。$	그것은 역시, $1니까. 엣치도 좋아하게 된다.
$^エッチもだけど、今もね。(.+?)と過ごせたら、俺はそれで楽しいんだよ。$	엣치도이지만, 지금도 말야. $1와 보낼 수 있으면, 나는 그래서 즐거워.
$^本当に、(.+?)が可愛いからさ。$	정말로, $1가 사랑스럽기 때문에.
$^それはそうかもしれないけどさ。出来れば(.+?)にも積極的になって欲しいっていうか。$	그것은 그럴지도 모르지만 말야. 할 수 있으면$1에도 적극적으로 되었으면 좋다고 말할까.
$^(.+?)って情熱的なんだね。$	$1는 정열적인 것이구나.
$^(.+?)は\1でいいんだよ？$	$1는 $1대로 좋아?
$^(.+?)は喋らなかったら可愛いのにね。$	$1는 말하지 않았으면 사랑스러운데.
$^わ、(.+?)、気が早いね……。そんなに急がなくてもいいんじゃないかな。$	원, $1, 성질이 급하다……. 그렇게 서두르지 않아도 괜찮은 것이 아닐까.
$^大丈夫だよ。俺を信じてよ、(.+?)。$	괜찮아. 나를 믿어요, $1.
$^だから(.+?)は、焦らないでも大丈夫だよ。$	그러니까$1는, 초조해 하지 않아도 괜찮아.
$^いいや、別に構わないよ。俺も、(.+?)のいろんな表情が見られて嬉しい。$	좋아, 별로 상관없어. 나도, $1의 여러가지 표정을 볼 수 있어 기쁘다.
$^(.+?)の気持ちはわかってる。ずっとそばにいてほしい。$	$1의 기분은 알고 있다. 쭉 곁에 있으면 좋겠다.
$^ありがとう。(.+?)が一緒にいてくれるってだけで、俺も元気が出てくるんだ。$	고마워요. $1가 함께 있어 준다 라고만으로, 나도 기운이 생겨 온다.
$^(.+?)、大胆だな。そこまでストレートな言葉が返ってくるとは思わなかったよ。$	$1, 대담하다. 거기까지 스트레이트한 말이 되돌아 온다고는 생각하지 않았어요.
$^いや、そんな事はないよ。そう言ってもらえるのは嬉しいよ、(.+?)。$	아니, 그런 일은 없어. 그렇게 말해 받을 수 있는 것은 기뻐, $1.
$^(.+?)は大げさだな。$	$1는 과장되다.
$^でも、(.+?)がしたいっていうなら、毎日でも……。$	그렇지만, $1를 하고 싶다고 말한다면, 매일이라도…….
$^ああ、当たり前だろ。(.+?)みたいな魅力的な女の子を前にして、我慢なんかできるわけないじゃないか。$	아, 당연할 것이다. $1같은 매력적인 여자 아이를 앞에 두고, 인내 따위 할 수 있을 이유 없지 않은가.
$^なに、(.+?)は何か心配していたの？$	뭐, $1는 뭔가 걱정하고 있었어?
$^杞憂だよ、それは。(.+?)としない日なんて、俺には考えられないよ。$	기우야, 그것은. $1로 하지 않는 날이라니, 나에게는 생각할 수 없어.
$^おぉ、(.+?)、なんだか恰好良いね。すごい、自信満々だ。$	$1, 왠지 근사하다. 굉장해, 자신만만하다.
$^そこまで想われるなんて、嬉しいよ、(.+?)。$	거기까지 생각해지다니 기뻐, $1.
$^いや、正直言うとかなりドキドキしてる……。やっぱり、(.+?)には敵わないな。$	아니, 솔직히 말하면 꽤 두근두근 하고 있다……. 역시, $1에는 이길 수 없구나.
$^いやいや、違う、(.+?)は今、誤解してるよ。$	아니아니, 다른, $1는 지금, 오해하고 있다.
$^だから、その……要は、俺は何があっても(.+?)の事が好きだって、そう言いたかったんだよ。$	그러니까, 그…… 요점은, 나는 무엇이 있어도$1의 일을 좋아한다고, 그렇게 말하고 싶었던 것이야.
$^ああ、もちろんだよ。俺が(.+?)を裏切る事なんて、あり得ないからさ。$	아, 물론이야. 내가$1를 배반하는 일이라니, 있을 수 없기 때문에.
$^うん。何があっても、(.+?)のそばにいるよ。$	응. 무엇이 있어도, $1의 곁에 있어.
$^そんな(.+?)の顔、見てみたいかも。$	그런$1의 얼굴, 보고 싶을지도.
$^いや、(.+?)に不満なんてあるわけないよ、当たり前じゃないか。$	아니, $1에 불만은 있을 이유 없어, 당연하지 않은가.
$^でもさ、(.+?)と常に一緒にいられるわけじゃないだろ？　だから、あの本は必要なもので……$	그렇지만, $1와 항상 함께 있을 수 있는 것이 아닐 것이다? 그러니까, 그 책은 필요한 것으로……
$^(.+?)だって、もし勝手に自分の物を捨てられたらイヤだろ？$	$1도, 만약 마음대로 자신의 물건을 버려지면 싫겠지?
$^……うぅん、わかったよ、(.+?)。今回は俺が悪かった。$	…… 우응, 알았어, $1. 이번은 내가 나빴다.
$^……わかった。俺には(.+?)だけだ。$	…… 알았다. 나에게는$1뿐이다.
$^ああ、必要ない。(.+?)がいてくれるんだ、これ以上望むものはないよ。$	아, 필요없다. $1가 있어 준다, 더 이상 바라는 것은 없어.
$^ありがとう、(.+?)。でも、\1が全部してくれるのか……楽しみだな。$	고마워요, $1. 그렇지만, $1가 전부 해 주는지…… 기다려진다.
$^別に誤魔化してなんかいないさ。それに、俺には(.+?)がいるからこそ、むしろこういう本が必要なんだよ。$	따로 속인 적 따위 없는 거야. 게다가, 나에게는$1이 있기 때문이야말로, 오히려 이런 책이 필요해.
$^だから俺は、後学のためエロ本を買うんだ。それは(.+?)の為にもなるからね。$	그러니까 나는, 후학이기 때문에 에로책을 산다. 그것은$1을 위해서(때문에)도 되니까요.
$^へえ、(.+?)、ずいぶん強気じゃないか。本当にここでもいいの？$	에 네, $1, 대단히 강하지 않은가. 정말로 여기에서도 좋은거야?
$^じゃあここで、俺の要求に全部応えてくれるんだ……(.+?)、すごいね。$	잡어개로, 나의 요구에 전부 응해 준다……$1, 굉장하다.
$^(.+?)がそこまで覚悟を持っているなんて、知らなかったけど。さすが、俺のメイドだな。$	$1가 거기까지 각오를 가지고 있다니 몰랐지만. 과연, 나의 메이드다.
$^へえ……(.+?)、今日はなかなか言うもんだね。それなら、俺としても考えがあるよ。$	에……$1, 오늘은 꽤 말하는 것이구나. 그렇다면, 나로서도 생각이 있어.
$^まぁ、それはそうなんだけど。まさか(.+?)がそこまで乗り気になるとは思ってなかったから。$	아무튼, 그것은 그렇지만. 설마$1가 거기까지 내켜하는 마음이 된다고는 생각하지 않았으니까.
$^ああ、本気だ。(.+?)がその気になってるのに、俺が尻込みしてちゃ駄目だからな。$	아, 진심이다. $1가 그럴 기분이 들고 있는데, 내가 주저해 하고 있어서는 안되기 때문에.
$^このお酒を飲み終わったら、人払いして……(.+?)に、『何でも』してもらおうかな$	이 술을 다 마셨으면, 주위 사람을 없게 함 해……$1에, 『뭐든지』해 받을까
$^ふふ、楽しみだな。(.+?)のいろんな姿がこの場で見られるのか……$	후후, 기다려진다. $1의 여러가지 모습이 이 장소에서 볼 수 있는 것인가……
$^いくら(.+?)でも、人目があったら、さすがにね……$	아무리$1라도, 남의 안목이 있으면, 과연……
$^いや、(.+?)の事は好きだよ。好きに決まってるじゃないか。$	아니, $1의 일은 좋아해. 좋아하게 정해져 있지 않은가.
$^(.+?)は、そんなにエッチな事がしたいの？$	$1는, 그렇게 엣치한 일을 하고 싶은거야?
$^(.+?)はなにか、好きな乗り物とかはあるかな。$	$1는 뭔가, 좋아하는 탈 것이라든지는 있을까나.
$^本当？　それなら(.+?)の水着姿が見れそうだな。$	사실? 그렇다면$1의 수영복 모습을 볼 수 있을 것 같다.
$^それは楽しみだな。(.+?)とリゾートか、考えるだけでもわくわくするよ。$	그것은 기다려진다. $1와 리조트인가, 생각하는 것만이라도 두근두근 한다.
$^いやいや、(.+?)に無理はさせられないよ。$	아니아니, $1에 무리는 시킬 수 없어.
$^大胆だね、(.+?)。お酒飲みながら抱きしめたら、我慢できなくなっちゃうよ。$	대담하다, $1. 술 마시면서 껴안으면, 인내 할 수 없게 되어 버린다.
$^(.+?)が大丈夫でも、俺が大丈夫じゃないよ。$	$1가 괜찮아도, 내가 괜찮지 않아.
$^……うん、まあね。(.+?)にその気にさせられる仕草を見せられたら、そうなっちゃうかもね。$	…… 응, 글쎄. $1에 그런 기분이 들게 할 수 있는 행동을 보여지면, 그렇게 되어 버릴지도 몰라.
$^いやいや違う、そういう意味じゃないよ。グッとくる仕草を、(.+?)が聞いてきたんじゃないか。$	아니아니 다르다, 그러한 의미가 아니야. 훨씬 오는 행동을, $1가 (들)물었지 않은가.
$^嬉しい提案だけど、さりげなくされるのがいいんじゃないか、(.+?)。$	기쁜 제안이지만, 자연스럽게 되는 것이 좋은 것이 아닌지, $1.
$^ああ、そうだな。(.+?)が思う以上に効果的だと思うよ。$	아, 그렇다. $1가 생각하는 이상으로 효과적이라고 생각한다.
$^え？　(.+?)、洗濯物の匂いを嗅いだの？　どうして？$	네? $1, 세탁물의 냄새를 맡았어? 어째서?
$^魔が差すのは仕方がないとしても、まさか実際に行動に移すとは……。(.+?)、行動的だね。$	먼가에 씌이는 것은 어쩔 수 없다고 해도, 설마 실제로 행동으로 옮긴다고는……. $1, 행동적이다.
$^俺は別にいいけどさ……。(.+?)の事が心配になるよ。$	나는 별로 좋지만 말야……. $1의 일이 걱정으로 된다.
$^やっぱりそういう考えがあったのか……。(.+?)は油断ならないな。$	역시 그러한 생각이 있었는가……. $1는 방심할 수 없구나.
$^(.+?)って、エッチなメイドだよな。こんなところで、そんな話するなんて。$	$1는, 엣치한 메이드구나. 이런 곳에서, 그런 이야기하다니.
$^うぅ、わ、わかってるよ……。(.+?)をそんな風にしたのは俺だよ。……これでいいだろ？$	아, 알고 있다……. $1를 그런 식으로 한 것은 나야. …… 이것으로 좋을 것이다?
$^ま、まあそりゃね……。でも大丈夫だよ、(.+?)。一回くらいなら、別に気にしないでも。$	뭐, 뭐 그렇다면……. 그렇지만 괜찮아, $1. 1회 정도라면, 별로 신경쓰지 않아도.
$^俺も、(.+?)のこと考えながら寝てるよ。$	나도, $1의 일 생각하면서 자고 있다.
$^はは、俺の夢にも(.+?)が出てくるよ。$	는은, 나의 꿈에도$1가 나온다.
$^はは、たしかに。(.+?)に触れるんだから、現実のほうがいいかな。$	는은, 분명히. $1에 접하기 때문에, 현실 쪽이 좋을까.
$^(.+?)のこと、どんどん可愛く見えてくるんだよ。明日になったらもっと可愛いんだろうなぁ。$	$1의 일, 자꾸자꾸 사랑스럽게 보여 오는거야. 내일이 되면 좀 더 사랑스러울 것이다.
$^はは、俺も(.+?)になら責められてみたいかな。$	는은, 나도$1에라면 꾸짖을 수 있어 보고 싶은가.
$^え？　どうだろう、(.+?)だからかな？$	네? 어떨까, $1이니까일까?
$^そんなことないよ、(.+?)は最初からずっと可愛かったよ。$	그렇지 않아, $1는 최초부터 훨씬 사랑스러웠어요.
$^本当だって！　好き、大好き、(.+?)のこと愛してる。一生離れたくないよ。$	사실이라고! 좋아해, 너무 좋아, $1의 일 사랑하고 있다. 일생 떨어지고 싶지 않아.
$^でも俺が可愛いって思ったんだから、(.+?)は可愛い。これは間違いないよ。$	그렇지만 내가 사랑스럽다고 생각한 것이니까, $1는 사랑스럽다. 이것은 틀림없어.
$^それより俺は？　(.+?)は、最初から俺のこと格好いいと思ってた？$	그것보다 나는? $1는, 최초부터 나의 일 멋지다고 생각하고 있었어?
$^(.+?)はさくらんぼのヘタを口の中で結ぶの、やったことある？$	$1는 체리의 열매 꼭지를 입 안에서 묶는 것, 한 적 있어?
$^俺も、さくらんぼより(.+?)がいいなぁ。$	나도, 체리보다$1가 좋은데.
$^じゃあ(.+?)は、俺がモテたら嫌？$	자$1는, 내가 인기있으면 싫어?
$^するわけないよ。俺は(.+?)とキスできれば満足なんだから。$	할 이유 없어. 나는$1과 키스 할 수 있으면 만족하기 때문에.
$^はは、(.+?)は可愛いなぁ。$	는은, $1는 사랑스러운데.
$^ごめんごめん。でも本当に、今すぐ(.+?)にキスしたくなったよ。$	미안 미안. 그렇지만 정말로, 금방$1에 키스 하고 싶어졌어.
$^そっか、(.+?)が嫌ならやめておくよ。$	그래, $1가 싫으면 그만둔다.
