主人公の名前を決めて下さい。	주인공의 이름을 결정해 주세요.
父に勧められたのがきっかけです。他にも色々とやりましたが、私には弓道が合っていました。	아버지에게 권유받았던 것이 계기입니다. 그 밖에도 다양하게 했습니다만, 나에게는 궁도가 맞고 있었습니다.
スポーツは多かれ少なかれ他人と競い合うものですけど、弓道は主に自分との戦いですから。	스포츠는 많든 적든 타인서로 와 경쟁하는 것 이지만, 궁도는 주로 자신과의 싸움이기 때문에.
他人と争うのが嫌いなんだ。	타인과 싸우는 것이 싫다.
そうですね。周りにわずらわされず、自分のペースで進めたいんです。	그렇네요. 주위에 번거롭게 해지고 두, 자신의 페이스로 진행하고 싶습니다.
マイペースなのかな。いや、我が道を行くって感じか。	마이 페이스인가. 아니, 우리 길을 간다 라는 느낌인가.
かわいげがありませんね、私。	귀염성이 없겠네요, 나.
大丈夫、そういうとこも含めて個性だよ。そういう意味で言えば弓道を選んだのは納得かな。	괜찮아, 그러한 곳도 포함해 개성이야. 그러한 의미로 말하면 궁도를 선택한 것은 납득일까.
ご主人様は何か好きなスポーツはありますか？	주인님은 무엇인가 좋아하는 스포츠는 있습니까?
普通に野球かな。ベタだけどね。	보통으로 야구일까. 베타지만.
ふふ、男の方はみんな野球が好きなのでしょう？	후후, 남자는 모두 야구를 좋아해서 짊어져?
いやいや、サッカーの方が好きって人もいるし、そもそもスポーツ全般に興味ない人もいるし。	아니아니, 축구를 좋아한다는 것은 사람도 있고, 원래 스포츠 전반에 흥미없는 사람도 있고.
そうなのですか。意外でした。	그렇습니까. 의외였습니다.
でも、プロ野球は見ないけど高校野球だけは見るって人もいるね。	그렇지만, 프로야구는 보지 않지만 고교 야구만은 본다 라는 사람도 있군요.
それは私もわかります。みんなで一つの目標に向けて頑張っている姿を見ると、不思議と応援したくなってしまいますね。	그것은 나도 압니다. 모두 하나의 목표를 향해 노력하고 있는 모습을 보면(자), 이상하게 응원하고 싶어져 버리네요.
そうなんだよ。まさに青春、って感じでさ。	그래요. 확실히 청춘, 이라는 느낌으로.
私も頑張らないと、って励まされる気持ちになります。うん、頑張りますね。	나도 노력하지 않으면은 격려받는 기분이 됩니다. 응, 노력하네요.
格闘技とかいいと思う。	격투기라든지 좋다고 생각한다.
私からすると野蛮、というより痛そう、というイメージがあるのですが……	나부터 하면(자) 야만, 이라고 하는 것보다 아플 것 같다, 라고 하는 이미지가 있습니다만……
もちろん痛いだろうけどさ。でも、男って格闘技に憧れるところが少なからずあるよ。	물론 아프겠지만. 그렇지만, 남자는 격투기를 동경하는 곳(중)이 많이 있어.
ご主人様も格闘家になりたかったのですか？	주인님도 격투가가 되고 싶었습니까?
そうじゃないけど、強くありたいって思う。いざって時は自分の手で大切な人を守りたいじゃないか。	그렇지 않지만, 강하게 있고 싶다고 생각한다. 막상은 때는 자신의 손으로 소중한 사람을 지키고 싶지 않은가.
大切な人、ですか？	소중한 사람, 입니까?
ふふふ、口がお上手ですね、ご主人様は。	후후후, 입이 능숙하시네요, 주인님은.
守りたいって気持ちは本当なんだけどなぁ。	지키고 싶다는 기분은 사실이지만.
では、もし危険が迫った時はよろしくおねがいしますね。	그럼, 만약 위험이 강요했을 때는 아무쪼록 부탁 하네요.
ご主人様、夜のスポーツって何ですか？	주인님, 밤의 스포츠는 무엇입니까?
うん、ごめん。何でもない。	응, 미안. 아무것도 아니다.
はあ、ご主人様はそれしか頭にないのですね。	(은)는 , 주인님은 그것 밖에 머릿속에 없군요.
大丈夫ですよ、ご主人様。私はどこへも逃げませんよ。	괜찮아요, 주인님. 나는 어디에도 도망치지 않아요.
じゃあしよう、今しよう、ここでしよう！	자 하자, 지금 하자, 여기서 하자!
ご、ご主人様っ……もう、ダメですよ。物事には順序というものがあるんですから。	, 주인님……이제(벌써), 안되어요. 사물에는 순서라는 것이 있으니까.
ご主人様とはいえルールは守ってください。わかりましたか？	주인 같다고는 집룰은 지켜 주세요. 알았습니까?
う、はい……	, 네……
動物と言えば……やはりパンダでしょうか。	동물이라고 말하면……역시 팬더입니까.
パンダか、かわいいよね。	팬더인가, 귀엽지요.
かわいいというのもあるのですが、パンダってずんぐりとしてて大きいですよね。私、大きな動物が好きなんです。	귀엽다고 하는 것도 있습니다만, 팬더는 땅딸막하고 있어 크지요. 나, 큰 동물을 좋아합니다.
じゃあゾウも好きとか？	그럼 코끼리도 좋아라든지?
いえ、ゾウはあまり……大きすぎて少し怖いです。	아니요 코끼리는 너무…… 너무 커 조금 무섭습니다.
意外と難しいな……じゃあ熊とか。	의외로 어렵다…… 그럼 곰이라든지.
パンダは熊に猫と書きますね。もしかしたら、熊っぽい動物が好きなのかもしれません。	팬더는 곰에 고양이라고 쓰네요. 어쩌면, 쿠마(곰) 같은 동물을 좋아할지도 모릅니다.
ふうん、じゃあツキノワグマとか、アライグマとか？	흐응, 그럼 츠키노와구마(반달곰)이라든지, 아라이구마(아메리카 너구리)라든지?
あ、アライグマは熊なのでしょうか……でも、かわいいとは思いますよ。	아, 아라이구마(아메리카 너구리)는 곰일까요…… 그래도, 귀엽다고는 생각해요.
ご主人様は、かわいいと思う動物はいますか？	주인님은, 귀엽다고 생각하는 동물은 있습니까?
コアラ、かなぁ。動物園とかでは人気だよね。	코알라, 일까. 동물원등으로는 인기지요.
確かにモフモフとしていて、抱っこしたら気持ちよさそうですね。	확실히 복실복실로 하고 있어, 포옹하면(자) 기분이야 유혹하는 것으로 무릎.
オーストラリアには、コアラを抱っこさせてくれる動物園があるらしいよ。	오스트레일리아에는, 코알라를 포옹시켜 주는 동물원이 있는 것 같아.
本当ですか？　それはぜひ行ってみたいです。	정말입니까?　그것은 꼭 가 보고 싶습니다.
もしパンダが抱っこできるなら、パンダの方が断然いいのですが……	만약 팬더를 포옹할 수 있다면, 팬더가 단연 좋습니다만……
パンダはさすがに無理じゃないかなぁ。子パンダならともかく……	팬더는 과연 무리인 것이 아닐까. 아이 팬더 라면 몰라도……
ううん、迷いますね……	으응, 헤매네요……
ふふ、確かに猫はかわいいですね。私も嫌いではありません。	후후, 확실히 고양이는 귀엽네요. 나도 싫지는 않습니다.
でもパンダの方がいいんだ。	그렇지만 팬더가 좋다.
パンダって大きくて丸っこくて、たくましいじゃないですか。何だかホッとするんです。	팬더는 커서 환진하고, 씩씩하지 않습니까. 무엇인가 마음이 놓입니다.
パンダはパンダ、人間は人間ですよ。人間は、パンダのようにモコモコとしていませんから。	팬더는 팬더, 인간은 인간이에요. 인간은, 팬더와 같이 푹신푹신로 하고 있지 않기 때문에.
なるほど、モコモコしてる人が好きなんだ。	과연, 푹신푹신하고 있는 사람을 좋아한다.
人間がモコモコとしていたら気味が悪いのですが……どうしてそんなことを聞くのですか？	인간이 푹신푹신로 하고 있으면(자) 기색이 나쁩니다만……어째서 그런 일을 (듣)묻습니까?
変なご主人様ですね。それでは、試しに目の周りを黒く塗ってみたらいかがです？	이상한 주인 같네요. 그러면, 시험삼아 눈의 주위를 검게 발라 보면 어떻습니까?
おいおい。	이봐 이봐.
ふふふ、冗談ですよ。	후후후, 농담이에요.
アノマロカリス。	아노마로카리스.
……は、はい？	……(은)는, 네?
その……アノマ何とか、というのはどんな動物なのですか？	그……아노마 어떻게든, 이라고 하는 것은 어떤 동물인 것입니다인가?
カンブリア紀に棲息してた動物だね。口に２本のしっぽが生えたエビみたいな形をしてるんだよ。	캄브리아기에 서식하고 있었던 동물이구나. 입에 2개의 꼬리가 난 새우같은 형태를 하고 있어.
……素朴な疑問なのですが、エビは動物なのでしょうか……	……소박한 의문입니다만, 새우는 동물일까요……
エビは節足動物、アノマロカリスも節足動物だったと言われてる。つまり動物だよ！	새우는 절족동물, 아노마로카리스도 절족동물이었다고 말해지고 있다. 즉 동물이야!
それは昆虫も動物、と言うくらい強引だと思うのですが……	그것은 곤충도 동물, 이라고 할 정도로 강행이라고 생각합니다만……
ちなみにアノマロカリスは１メートルくらいあったらしいよ。	덧붙여서 아노마로카리스는 1미터 정도 있던 것 같아.
お、大きなエビですね……食べたらおいしいのでしょうか。	, 큰 새우군요……먹으면 맛있는 것일까요.
うん、おいしいだろうね。	응, 맛있겠지.
それほど好き嫌いはなかったのですが、強いて挙げれば……美術、でしょうか。	그만큼 좋고 싫음은 없었습니다만, 억지로 들면……미술, 입니까.
おお、芸術家肌だなぁ。	, 예술가피부구나.
そこまで大層なものではありませんよ。ただ何かを黙々と描いたり、作ったりするのが好きなんです。	거기까지 매우것이 아니어요. 다만 무엇인가를 묵묵히 그리거나 만들거나 하는 것을 좋아합니다.
単純作業とか苦痛じゃないんだ。	단순 작업이라든지 고통이 아니다.
割と平気ですね。あまりに単調だとつらいかもしれませんが、一つのことをやり続けるのはさして苦になりません。	생각보다는 아무렇지도 않네요. 너무나 단조롭다면 괴로울지도 모릅니다만, 하나의 일을 계속 하는 것은 별로 고통 스럽지 않습니다.
絵画とか、芸術方面の趣味はないの？	회화라든지, 예술 방면의 취미는 없는거야?
色々とやってみたいとは思ったのですが、機会がありませんでした。	다양하게 해 보고 싶다고는 생각했습니다만, 기회가 없었습니다.
なら、今からでもやってみればいいのに。	(이)라면, 지금부터에서도 해 보면 좋은데.
そうですね。もし仮に始めるとしたら、どんなものがいいでしょうか。	그렇네요. 만약 만일 시작한다고 하면, 어떤 것이 좋을까요.
絵を描くということですね。	그림을 그린다고 하는 것이군요.
そうそう。鉛筆で気軽にデッサンとか始めて見ればいいんじゃないか。	그렇게 자주. 연필로 부담없이 뎃셍이라든지 시작해 보면 좋지 않은가.
悪くはないと思うのですが、あまりお仕事の役には立たないような気がします。	나쁘지는 않다고 생각합니다만, 그다지 일의 역에는 서지 않는 것 같은 생각이 듭니다.
いいんだよ、趣味なんだから。	좋아, 취미니까.
趣味、ですか。そういえば私、趣味らしい趣味がないかもしれません。	취미, 입니까. 그러고 보면 나, 취미인것 같은 취미가 없을지도 모릅니다.
少し考えてみたいと思います。ありがとうございます、ご主人様。	조금 생각해 보고 싶다고 생각합니다. 감사합니다, 주인님.
生け花とかどうかな。今風に言えばフラワーアレンジメントだね。	꽃꽂이라든지 어떨까. 유행으로 말하면 생화구나.
いいですね。それならお仕事の役に立ちそうな気がします。	좋네요. 그렇다면 일의 도움이 될 것 같은 생각이 듭니다.
でも私、かなり凝り性なので……皆さんのお邪魔になってしまうかもしれません。	그렇지만 나, 꽤 열중하는 성질이므로…… 여러분의 방해가 되어 버릴지도 모릅니다.
安易に妥協しないってことだよね。それは長所だと思うよ。	안이하게 타협하지 않는다고 것이지요. 그것은 장점이라고 생각해.
うん、芸術家ってそういうものでしょ。	응, 예술가는 그러한 것이겠지.
ご主人様は乗せるのがお上手ですね。やってみようって気になってきました。ありがとうございます。	주인님은 싣는 것이 능숙하시네요. 해 보자고 신경이 쓰여 왔습니다. 감사합니다.
……また突拍子もないことを言い始めましたね、ご主人様。	……또 엉뚱한 말을 하기 시작했어요, 주인님.
アイドルって総合芸術だと思うんだよ。歌にダンス、ライブに舞台、そのままタレント業や女優業に転向してもいいし。	아이돌은 종합 예술이라고 생각해. 노래에 댄스, 라이브에 무대, 그대로 탤런트업이나 여배우업으로 전향해도 괜찮고.
そもそも、アイドルは趣味で始めるものではないと思いますが……	원래, 아이돌은 취미로 시작하는 것은 아니라고 생각합니다만……
でも、アイドルと今の仕事って被るところがあると思うんだよね。とりあえず目指してみるっていうのはアリでしょ。	그렇지만, 아이돌과 지금의 일은 입는 곳(중)이 있다고 생각해. 우선 목표로 해 본다 라고 하는 것은 개미겠지.
とりあえずでアイドルになれたら、誰も苦労はしないと思います。	우선으로 아이돌이 될 수 있으면, 아무도 노고는 하지 않는다고 생각합니다.
そこは安心して、俺がプロデュースするから！　大船に乗ったつもりでいてくれ！	거기는 안심해, 내가 프로듀스하기 때문에!　마음이 든든한 생각으로 있어 줘!
不安しかありませんね……	불안 밖에 없겠네요……
好きな季節を教えて欲しいな。	좋아하는 계절을 가르쳐 주셨으면 하는데.
どの季節にもそれぞれ趣があるのですが、やはり一番は秋ですね。	어느 계절에도 각각 정취가 있습니다만, 역시 제일은 가을이군요.
そうですか？　どの辺りでそう思うのですか？	그렇습니까?　어느 근처에서 그렇게 생각합니까?
ううん、メイドとしていいことなのでしょうか。	으응, 메이드로 하고 있고 일일까요.
個性があっていいんじゃないかな。秋が好きなのはどうして？	개성이 있어 좋지 않을까. 가을을 좋아하는 것은 어째서?
紅葉が美しいですし、空気が冴えてきて、とても気持ちがいいです。	단풍이 아름다우며, 공기가 선명해 와, 매우 기분이 좋습니다.
誰かに寄り添うにはぴったりの季節だね。	누군가에게 다가붙으려면 딱 맞는 계절이구나.
そうかもしれません。ご主人様は、秋と言えば何を想像されますか？	그럴지도 모릅니다. 주인님은, 가을이라고 하면 무엇이 상상됩니까?
やっぱり食欲の秋だよね。おいしいものがいっぱいあるし。	역시 식욕의 가을이지요. 맛있는 것이 가득 있고.
秋が旬の食べ物はいっぱいありますね。ナシにりんご、かつおにさんま……かぼちゃやさつまいももおいしいですよ。	가을이 순의 음식은 가득 있네요. 나시에 사과, 한편 도깨비 꽁치……호박이나 고구마도 맛있어요.
お、よく知ってるね。実は食いしん坊さん？	, 잘 알고 있구나. 실은 먹보씨?
違いますよ。おいしいものを一番おいしい季節にいただく、それが風流なのだと教わってきましたから。	달라요. 맛있는 것을 제일 맛있는 계절로부터 받는, 그것이 풍류다라고 배워 왔으니까.
ああ、確かになぁ。最近は食べ物で季節を感じることが少ないね。	아, 확실히. 최근에는 음식으로 계절을 느끼는 것이 적다.
少し寂しいですよね。	조금 외롭지요.
いいですよ。そういう知識でしたら結構ありますので、ぜひお尋ねください。	좋아요. 그러한 지식이라면 상당히 있기 때문에, 꼭 질문해 주세요.
読書の秋、かなぁ。	독서의 가을, 일까.
ご主人様は本を読まれるんですか？	주인님은 책을 읽으십니까?
まあ、人並みにはね。でも、どうして読書の秋って言うんだろう。	뭐, 보통으로는요. 그렇지만, 어째서 독서의 가을이라고 말할까.
昔、図書館などが秋を読書週間として設定したのが始まりらしいですよ。	옛날, 도서관등이 가을을 독서 주간으로서 설정했던 것이 시작되어다워요.
何だか身も蓋もないな。	무엇인가 몸도 뚜껑도 없는데.
由来はともかく、秋は人恋しくなりますから、読書をしてあれこれと空想にふけるにはいい季節ですよね。	유래는 차치하고, 가을은 사람 그리워지기 때문에, 독서가 되어 있을 수 있는 이것과 공상에 빠지기에는 좋은 계절이군요.
ええ、大切な人に温めてもらいたい、などと考えることもありますよ。	예, 소중한 사람에 따뜻하게 해 주었으면 한, 등이라고 생각하는 일도 있어요.
た、大切な人って誰？	, 소중한 사람은 누구?
さあ、誰でしょうね。私にもよくわかりません。	자, 누구군요. 나에게도 잘 모릅니다.
そのスポーツというのは……まさか、夜伽のことではありませんよね？	그 스포츠라고 하는 것은…… 설마, 밤시중으로는 없겠지요?
ぎく……秋はやっぱりスポーツの秋だよ！	흠칫…… 가을은 역시 스포츠의 가을이야!
ご主人様……身体を動かすのはいいことですが、何でもかんでも下品な方向に結びつけるのはどうかと思いますよ。	주인님…… 신체를 움직이는 것은 좋은 일입니다만, 뭐든지 물어도 천한 방향으로 묶는 것은 어떨까라고 생각해요.
でも、秋は人恋しくなるじゃないか。肌と肌を合わせて温めあいたくなるだろ？	그렇지만, 가을은 사람 그리워지잖아. 피부와 피부를 맞추어 서로 따뜻하게 하고 싶어지겠지?
お気持ちはわかりますけど、風流ではありませんね。	기분은 압니다만, 풍류가 아니겠네요.
まあ、スポーツだから。	뭐, 스포츠이니까.
夜伽はスポーツではありません！	밤시중은 스포츠가 아닙니다!
好きな食べ物って何かあるかな。	좋아하는 음식은 무엇인가 걷는거야.
旬のものなら何でも好きなのですが……そうですね、特にお魚が好きかもしれません。	순의 것이라면 뭐든지 좋아합니다만……하네요, 특히 물고기를 좋아할지도 모릅니다.
肉より魚なんだ。	고기보다 물고기야.
ええ、脂が少なくてあっさりしていますし、健康にも良いですから。	예, 지방이 적어 시원시럽게 하고 있고, 건강에도 좋으니까.
でも骨とか取るの面倒じゃない？	그렇지만 뼈라든지 잡는 것 귀찮지 않아?
おいしいものをいただくための一手間だと思えば、苦ではありませんよ。	맛있는 것을 받기 위한 한 방법간이라고 생각하면, 근심이 아니어요.
ふうん、そういうものか。	식응, 그러한 것인가.
それに私は和食が好きなので。和食は魚料理が多いですからね。	거기에 나는 일식을 좋아해서. 일식은 물고기 요리가 많으니까.
いいよね、和食って。	좋지요, 일식은.
ご主人様はどんな料理がお好きですか？	주인님은 어떤 요리를 좋아합니까?
強いて言えば洋食、かなぁ。ハンバーガーとかカレーとかステーキとか大好きだしね。	억지로 말하면 양식, 일까. 햄버거라든지 카레라든지 스테이크라든지 정말 좋아하니까.
ふふ、男の子っぽいものが好きなのですね。	후후, 사내 아이 같은 것이 좋아합니다.
まあそうかも。あ、でもとんかつとか牛丼も好きだよ。こっちは和食か？	뭐 그럴지도. 아, 그렇지만 돈까스라든지 소고기 덮밥도 좋아해. 여기는 일식인가?
ううん、どうでしょう。	으응, 어떻습니까.
今は日本の定番、って感じだよね。	지금은 일본의 정평, 이라는 느낌이지요.
和製洋食、という感じでしょうか。そういうものでしたら、私も好きですよ。	일본제 양식, 이라고 하는 느낌입니까. 그러한 것이라면, 나도 좋아해요.
別にかぶりつきはしませんね。普通に食べるだけですよ。	별로 관람석은 하지 않아요. 보통으로 먹을 뿐입니다.
俺も和食かな。魚も好きだよ。	나도 일식일까. 물고기도 좋아해.
お魚は煮てよし、焼いてよし、生でも揚げてもよし、という素晴らしい食材ですね。	물고기는 익혀 좋아, 구워 좋아, 생에서도 올려도 좋아, 라고 하는 훌륭한 식품 재료군요.
日本人に一番あっているように思います、お魚は。	일본인에 제일 있도록(듯이) 생각합니다, 물고기는.
はは、俺は無難に寿司を想像するね。	(은)는은, 나는 무난히 스시를 상상하는군.
お寿司も好きです。普通のにぎりだけではなく、ちらしや押し寿司もおいしいものがいっぱいありますね。	초밥도 좋아합니다. 보통에 의리 만이 아니고, 광고지나 눌러 스시도 맛있는 것이 가득 있네요.
ううん、想像してたらよだれが出てきた……明日はお寿司、頼もうかな。	으응, 상상하고 있으면(자) 군침이 돌아 온……내일은 초밥, 부탁할까.
お寿司ですか。羨ましいですね。	초밥입니까. 부럽네요.
いいのですか？　ふふっ、明日が楽しみです。	좋습니까?　후후, 내일이 기다려집니다.
中華が一番！　何と言っても中国４０００年の味だからね！	중화가 제일!　뭐니 뭐니해도 중국 4000년의 맛이니까!
り、力説されても困るのですが……ご主人様は中華料理がお好きなのですね。	여, 역설되어도 곤란합니다만……주인님은 중화 요리를 좋아합니다.
だってラーメンも餃子も、焼きそばもチャーハンも、麻婆豆腐もシュウマイも、どれも中華発祥なんだぞ。最強だろ。	왜냐하면 라면이나 교자도, 야끼소바나 볶음밥도, 마파두부나 슈마이도, 모두 중화 발상다. 최강이겠지.
どれもおいしいのですが……脂っこい物が多くて苦手ですね。	모두 맛있습니다만……느끼한 것이 많고 서투르네요.
それは本当においしい中華を食べたことがないからだよ。今度食べさせてあげる。	그것은 정말로 맛있는 중화를 먹었던 적이 없기 때문이다. 이번에 먹여 준다.
い、いえその……お気持ちは嬉しいのですが……	있고, 말할 수 있고 그……기분은 기쁩니다만……
必ず美味しさで叫ばせてみせる。いやむしろ俺が叫ぶよ！	반드시 맛있음으로 외치게 해 보인다. 아니 오히려 내가 외쳐!
ご主人様、食事処で叫んではいけませんよ……	주인님, 식사곳에서 외쳐서는 안되어요……
恋愛観、と言いますと？	연애관, 이라고 하면?
男女が互いに相手のことを想い合う関係、それが恋愛だと思うのですが。他に何かあるのですか？	남녀가 서로 상대를 서로 생각하는 관계, 그것이 연애라고 생각합니다만. 그 밖에 무엇인가 있습니까?
うーん、例えば恋愛経験が豊富な男がいいとか、年収は一定以上じゃないと嫌だとか、そういうこだわりはないの？	응, 예를 들면 연애 경험이 풍부한 남자가 좋다든가, 연수입은 일정 이상이 아니면 싫다던가, 그러한 조건은 없는거야?
よくわかりませんね。恋愛とは相手を恋い慕う気持ちであって、そこに条件をつけるなんてあり得ません。	잘 모르겠네요. 연애와는 상대를 연모하는 기분이며, 거기에 조건을 붙인다고 있을 수 있지 않습니다.
年収で人を選ぶと言うのでしたら、いっそのことお金と結婚すればいいのです。	연수입으로 사람을 선택한다고 하므로 하면(자), 차라리 돈과 결혼하면 좋습니다.
あ、あはは……清純なんだね。	아, 아하하……청순하구나.
私はごく当たり前のことを言っているだけだと思うのですが……	나는 매우 당연한 것을 말할 뿐 라고 생각합니다만……
でも今時は、そんな人珍しいよ。	그렇지만 요즈음은, 그런 사람 드물어.
そ、そうなのですか？　今時の方はもっと違う恋愛観をお持ちなのですか？	, 그렇습니까?　요즈음은 좀 더 다른 연애관을 가지고 있습니까?
まあ、人それぞれだけどね。	뭐, 사람 각자지만.
ご主人様も、私とは違う恋愛観をお持ちなのでしょうか。	주인님도, 나와는 다른 연애관을 가지고 있는 것일까요.
そりゃあ、かわいい子の方がいいよね。恋愛するならさ。	그렇다면 아, 귀여운 아이가 좋지요. 연애한다면.
ううん……外見で選ぶのはどうかと思うのですが、あながち否定しきれるものではないですね。	으응……외관으로 선택하는 것은 어떨까라고 생각합니다만, 반드시 부정 다 할 수 있는 것은 아니네요.
私だって、容姿に関係なく恋するわけではないでしょうし。	나도, 용모에 관계없이 사랑 하는 것은 아닐 것입니다 해.
別に可もなく不可もなく、ですね。	별로 특별히 좋지도 나쁘지도 않고, 군요.
う、つまりどうでもいい男ってことか……	, 즉 아무래도 좋은 남자는 것인가……
違いますよ。今は恋してませんが、恋する可能性は十分にある、という感じで考えていただければ。	달라요. 지금은 사랑 하지 않았습니다 가, 사랑 할 가능성은 충분히 있다, 라고 하는 느낌으로 생각해 주시면.
そっか、可能性はあるんだ。よかったよかった。	그래, 가능성은 있다. 좋았어요 샀다.
ふふ、おかしなご主人様ですね。	후후, 이상한 주인 같네요.
ええ、そうですよね。恋とはそういうものだと思います。	예, 그렇네요. 사랑과는 그러한 것이라고 생각합니다.
一瞬のうちにわき起こる胸のときめき……それが恋ってやつだな。	일순간에 끓어 일어나는 가슴 때인 듯해……그것이 그리워해 녀석이다.
ふふふ、くさいセリフですね。	후후후, 냄새가 난 대사군요.
う、うん……自分で言っておいてなんだけど、少し恥ずかしかった。	, 응……스스로 말해 두어이지만, 조금 부끄러웠다.
でも、安心しました。	그렇지만, 안심했습니다.
え、何が？	네, 무엇이?
ご主人様が真っ当な恋愛観をお持ちだってことに、ですよ。	주인님이 정당한 연애관을 가지고 있다고 일로, 예요.
……それは、女性の胸が恋愛対象を選ぶ基準だということですか？	……그것은, 여성의 가슴이 연애 대상을 선택하는 기준이라고 하는 것입니까?
男として、大事なものさしの一つではあるよね。おっぱい。	남자로서 소중한 자의 1개이지요. 젖가슴.
あの、心を交わし合う相手として、大切にすべきことは他にも山ほどあると思うのですが……	저, 마음을 서로 주고 받는 상대로서 소중히 해야 할것은 그 밖에도 산만큼 있다고 생각합니다만……
もちろんそうなんだけど、やっぱり最初に目が行くのはおっぱいだよ。おっぱい。	물론 그렇구나하지만, 역시 최초로 눈길이 가는 것은 젖가슴이야. 젖가슴.
顔でも性格でもなく、まず胸なのですか？	얼굴도 성격도 아니고, 우선 가슴인 것입니다인가?
ああ、おっぱいだね。最初に男の視線が向かう先……それがおっぱい！	아, 젖가슴이구나. 최초로 남자의 시선이 향하는 앞……그것이 젖가슴!
……しゃべる度におっぱいって言わないでください。	……말할 때에 젖가슴이라고 말하지 말아 주세요.
なんでしょうか。	무엇이지요.
休日はいつも何をしてるの？	휴일은 언제나 무엇을 해?
特別に何かをしているわけではありません。自室でゆっくりとしています。	특별히 무엇인가를 하고 있는 것은 아닙니다. 자기 방에서 천천히 하고 있습니다.
ふうん、どこかに行ったりはしないんだ。	식응, 어디엔가 가거나는 하지 않다.
必要な時ならともかく、好き好んで外出はしませんね。疲れてしまうので。	필요한 시 라면 몰라도, 좋아해 외출은 하지 않아요. 지치게 되므로.
インドア派なんだね。部屋で何をしてるの？	인도어파야. 방에서 무엇을 해?
掃除をしたり、テレビを見たり、読書をしたり……すみません、普通すぎますね。	청소를 하거나 텔레비젼을 보거나 독서를 하거나……미안합니다, 보통 지나네요.
いやいや、いいと思うよ。	아니아니, 좋다고 생각해.
ご主人様はインドア派、アウトドア派のどちらですか？	주인님은 인도어파, 아웃도어파의 어느 쪽입니까?
どちらかと言うとアウトドア派だね。	어느 쪽일까하고 하면(자) 아웃도어파구나.
そうなのですか。	그렇습니까.
ほら、こういう仕事だからさ。たまに建物の外に出て、新鮮な空気を吸いたくならない？	이봐요, 이런 일이니까. 이따금 건물의 밖에 나와, 신선한 공기를 들이마시고 싶게 안 돼?
たまにありますね。お散歩したくなります。	이따금 있네요. 산책하고 싶어집니다.
でも人混みが苦手なので、行くなら静かなところがいいですね。	그렇지만 혼잡에 약해서, 간다면 조용한 곳이 좋네요.
わかるよ、その気持ち。ぼーっとできるし。	알아, 그 기분. -로 오고.
ふふ、ご主人様も大変でしょう。たまにはぼーっとして身体も心も休めてください。	후후, 주인님도 큰 일이겠지요. 가끔은 -로서 신체도 마음도 쉴 수 있어 주세요.
同じくインドア派だよ。外に出るのは面倒くさいんだよね。	같은 인도어파야. 밖에 나오는 것은 귀찮아.
ふふ、そうですね。今はおうちで楽しめるものがいっぱいありますし。	후후, 그렇네요. 지금은 집에서 즐길 수 있는 것이 가득 있고.
この前の休みは何をしてたの？	지난 번의 휴일은 무엇을 했어?
インターネットで小説を見つけて読んでいましたね。	인터넷으로 소설을 찾아내 읽고 있었어요.
へえ、ネットに小説がアップされてるんだ。	에 네, 넷에 소설이 업 되고 있어.
著作権が切れた小説をたくさん載せているサイトがあるんです。一日中、ずーっと見てました。	저작권이 끊어진 소설을 많이 싣고 있는 사이트가 있습니다. 하루종일, 계속 보고 있었습니다.
目、痛くならない？	눈, 아프게 안 돼?
はい、痛くなりました……今も少し、しぱしぱします……	네, 아파졌던……지금도 조금, 합니다……
ご、ご主人様……流石にその発言は……	, 주인님……유석에 그 발언은……
押してダメなら押してみろってね。	눌러 안되면 눌러 봐라고.
やめてください。変な想像をさせないでください。	그만두어 주세요. 이상한 상상을 시키지 말아 주세요.
でも、強引にドアをこじ開けて入るのもまた一興だよ。	그렇지만, 억지로 문을 비틀어 열어 들어가는 것도 또 일흥이야.
そ、そういうプレイは好みません。女性には優しくしてください。	, 그러한 플레이는 좋아하지 않습니다. 여성에게는 상냥하게 해 주세요.
もう、ご主人様ったら……！	이제(벌써), 주인님도 참……!
宝くじ、ですか……考えたこともありませんでした。	복권, 입니까……생각한 적도 없었습니다.
当たれば結構な金額だよね。	맞으면 상당한 금액이지요.
うーん、困ってしまいますね。今は特に用途が思い当たりません。	응, 곤란해 버리네요. 지금은 특히 용도가 짐작이 가지 않습니다.
あれ、欲しいものとかないの？	저것, 갖고 싶은 것 풀지 않는거야?
細々とはありますが、そういうものは宝くじが当たらなくても買えますから。	세들과는 있습니다만, 그러한 것은 복권이 당첨되지 않아도 살 수 있을테니까.
あんまり物欲がないのかな。	별로 물욕이 없는 것인지.
全くないわけでもないのですが、物には執着しない方です。	전혀 없는 것도 아닙니다만, 물건에는 집착 하지 않는 (분)편입니다.
わかった。物より思い出、ってタイプなんだね。	알았다. 물건보다 추억, 은 타입이야.
ふふ、そうかもしれません……ご主人様は、もし宝くじが当たったらどうされますか？	후후, 그럴지도 모릅니다……주인님은, 만약 복권이 당첨되면 어떻게 하십니까?
無難に車を買うかなぁ。	무난히 차를 살까.
車に興味があるのですか？	차에 흥미가 있습니까?
そこまですごく欲しいってわけじゃないけど、お金があるならいい車に乗ってみたいって思うよね。	거기까지 몹시 갖고 싶다고 하는 것 것이 아니지만, 돈이 있다면 좋은 차를 타 보고 싶다고 생각하지요.
